AoA_deg_Used,AoS_deg,delta_El_L,delta_Rud_R,CLL_body
-4,0,0,0,-4.86E-05
0,0,0,0,2.80E-05
4,0,0,0,9.31E-05
8,0,0,0,0.000113441
12,0,0,0,0.000351374
16,0,0,0,0.000434533
20,0,0,0,0.000636517
30,0,0,0,0.000982366
45,0,0,0,0.002150752
-4,0,0,10,0.008925402
0,0,0,10,0.008710345
4,0,0,10,0.009478123
8,0,0,10,0.009815229
12,0,0,10,0.010775464
16,0,0,10,0.013361101
20,0,0,10,0.015671529
30,0,0,10,0.019944763
45,0,0,10,0.019360372
-4,0,0,20,0.018671969
0,0,0,20,0.019050565
4,0,0,20,0.019720885
8,0,0,20,0.019481761
12,0,0,20,0.019545596
16,0,0,20,0.019580476
20,0,0,20,0.024498072
30,0,0,20,0.029055187
45,0,0,20,0.040520086
-4,0,0,-10,-0.00868886
0,0,0,-10,-0.008728593
4,0,0,-10,-0.009462004
8,0,0,-10,-0.010322536
12,0,0,-10,-0.011953967
16,0,0,-10,-0.013200851
20,0,0,-10,-0.015694059
30,0,0,-10,-0.018711736
45,0,0,-10,-0.02043585
-4,0,0,-20,-0.018258693
0,0,0,-20,-0.018770688
4,0,0,-20,-0.019597303
8,0,0,-20,-0.019665752
12,0,0,-20,-0.019417017
16,0,0,-20,-0.019145498
20,0,0,-20,-0.023169652
30,0,0,-20,-0.031515326
45,0,0,-20,-0.036653983
-4,0,10,0,-0.000259646
0,0,10,0,0.000151561
4,0,10,0,-6.22E-05
8,0,10,0,0.000514303
12,0,10,0,0.000326257
16,0,10,0,-0.000121622
20,0,10,0,0.001296282
30,0,10,0,0.000145473
45,0,10,0,0.000645712
-4,0,10,10,0.007539292
0,0,10,10,0.007286721
4,0,10,10,0.007551869
8,0,10,10,0.008526455
12,0,10,10,0.011872817
16,0,10,10,0.01127168
20,0,10,10,0.013866322
30,0,10,10,0.019194815
45,0,10,10,0.019332987
-4,0,10,20,0.016313052
0,0,10,20,0.016720015
4,0,10,20,0.017444665
8,0,10,20,0.018992326
12,0,10,20,0.019462688
16,0,10,20,0.02112096
20,0,10,20,0.026715753
30,0,10,20,0.031425734
45,0,10,20,0.036426324
-4,0,10,-10,-0.007349117
0,0,10,-10,-0.006876077
4,0,10,-10,-0.007399415
8,0,10,-10,-0.009099747
12,0,10,-10,-0.011869358
16,0,10,-10,-0.013220007
20,0,10,-10,-0.012717033
30,0,10,-10,-0.019194004
45,0,10,-10,-0.016320675
-4,0,10,-20,-0.016737857
0,0,10,-20,-0.016504479
4,0,10,-20,-0.017540299
8,0,10,-20,-0.018983472
12,0,10,-20,-0.019140978
16,0,10,-20,-0.021292408
20,0,10,-20,-0.027556352
30,0,10,-20,-0.035144396
45,0,10,-20,-0.036181148
-4,0,20,0,0.000391641
0,0,20,0,0.000505357
4,0,20,0,0.000551402
8,0,20,0,0.000640958
12,0,20,0,-0.000794637
16,0,20,0,-0.000495189
20,0,20,0,0.000114638
30,0,20,0,0.00068022
45,0,20,0,-0.001009556
-4,0,20,10,0.007581223
0,0,20,10,0.00668179
4,0,20,10,0.007718258
8,0,20,10,0.010219845
12,0,20,10,0.012751291
16,0,20,10,0.016509238
