AoA_deg_Used,AoS_deg,delta_El_L,delta_Rud_R,CLM_body
-4,0,0,0,0.085907126
0,0,0,0,0.045434062
4,0,0,0,0.006579425
8,0,0,0,-0.013886021
12,0,0,0,-0.002042252
16,0,0,0,0.01767974
20,0,0,0,0.020968294
30,0,0,0,0.045874439
45,0,0,0,0.113035555
-4,0,0,10,0.087279058
0,0,0,10,0.043413386
4,0,0,10,0.003695344
8,0,0,10,-0.010480024
12,0,0,10,0.00152471
16,0,0,10,0.008263022
20,0,0,10,0.002119346
30,0,0,10,0.017194133
45,0,0,10,0.099503097
-4,0,0,20,0.082537724
0,0,0,20,0.037096119
4,0,0,20,-0.002258169
8,0,0,20,-0.014620292
12,0,0,20,0.000171755
16,0,0,20,0.001183207
20,0,0,20,-0.003768622
30,0,0,20,-0.000263572
45,0,0,20,0.086525734
-4,0,0,-10,0.090534402
0,0,0,-10,0.04784389
4,0,0,-10,0.007261925
8,0,0,-10,-0.00764039
12,0,0,-10,0.010142813
16,0,0,-10,0.019900097
20,0,0,-10,0.013722069
30,0,0,-10,0.045684204
45,0,0,-10,0.108264782
-4,0,0,-20,0.082874398
0,0,0,-20,0.037658665
4,0,0,-20,-0.00158538
8,0,0,-20,-0.014788362
12,0,0,-20,-0.000267924
16,0,0,-20,-0.000255639
20,0,0,-20,-0.004924076
30,0,0,-20,0.000492297
45,0,0,-20,0.087987914
-4,0,10,0,0.027823329
0,0,10,0,-0.020873721
4,0,10,0,-0.065229161
8,0,10,0,-0.089916736
12,0,10,0,-0.078218752
16,0,10,0,-0.043962459
20,0,10,0,-0.042587651
30,0,10,0,0.01481937
45,0,10,0,0.089491708
-4,0,10,10,0.033413331
0,0,10,10,-0.020332171
4,0,10,10,-0.064106715
8,0,10,10,-0.085055517
12,0,10,10,-0.070174852
16,0,10,10,-0.052707096
20,0,10,10,-0.053233949
30,0,10,10,-0.002399327
45,0,10,10,0.070930033
-4,0,10,20,0.030829859
0,0,10,20,-0.020953491
4,0,10,20,-0.063945621
8,0,10,20,-0.07566251
12,0,10,20,-0.083968126
16,0,10,20,-0.067967843
20,0,10,20,-0.056791822
30,0,10,20,-0.044057273
45,0,10,20,0.062008191
-4,0,10,-10,0.02862417
0,0,10,-10,-0.023308449
4,0,10,-10,-0.067299502
8,0,10,-10,-0.087331585
12,0,10,-10,-0.078726726
16,0,10,-10,-0.06553612
20,0,10,-10,-0.066678728
30,0,10,-10,-0.029682972
45,0,10,-10,0.066268721
-4,0,10,-20,0.030092806
0,0,10,-20,-0.021600198
4,0,10,-20,-0.064061738
8,0,10,-20,-0.075043013
12,0,10,-20,-0.083441796
16,0,10,-20,-0.067263969
20,0,10,-20,-0.058909901
30,0,10,-20,-0.040652699
45,0,10,-20,0.062724857
-4,0,20,0,-0.032074779
0,0,20,0,-0.071681927
4,0,20,0,-0.115872078
8,0,20,0,-0.144258094
12,0,20,0,-0.131611343
16,0,20,0,-0.104965566
20,0,20,0,-0.097129298
30,0,20,0,-0.02338404
45,0,20,0,0.071766647
-4,0,20,10,-0.026321674
0,0,20,10,-0.072046144
4,0,20,10,-0.115530274
8,0,20,10,-0.139777635
12,0,20,10,-0.136359402
16,0,20,10,-0.110924058
20,0,20,10,-0.115730382
30,0,20,10,-0.04476064
45,0,20,10,0.05702816
-4,0,20,20,-0.023570291
0,0,20,20,-0.070008666
4,0,20,20,-0.113672978
8,0,20,20,-0.128366792
12,0,20,20,-0.124828784
16,0,20,20,-0.10368074
20,0,20,20,-0.098690221
