AoA_deg_Used,AoS_deg,delta_El_L,delta_Rud_R,CLN_body
-4,0,0,0,-6.44E-05
0,0,0,0,-2.05E-05
4,0,0,0,-2.77E-05
8,0,0,0,-0.000271351
12,0,0,0,-0.000398693
16,0,0,0,-0.000361384
20,0,0,0,-0.00069894
30,0,0,0,0.001725644
45,0,0,0,0.000709955
-4,0,0,10,-0.039638493
0,0,0,10,-0.039189027
4,0,0,10,-0.040808966
8,0,0,10,-0.039353731
12,0,0,10,-0.035840555
16,0,0,10,-0.032462068
20,0,0,10,-0.036206595
30,0,0,10,-0.028958474
45,0,0,10,-0.031095316
-4,0,0,20,-0.094891754
0,0,0,20,-0.097464413
4,0,0,20,-0.098814474
8,0,0,20,-0.092251365
12,0,0,20,-0.079332818
16,0,0,20,-0.070284505
20,0,0,20,-0.066821486
30,0,0,20,-0.058097671
45,0,0,20,-0.058002319
-4,0,0,-10,0.040356579
0,0,0,-10,0.039377111
4,0,0,-10,0.039811154
8,0,0,-10,0.038483588
12,0,0,-10,0.035620568
16,0,0,-10,0.031895072
20,0,0,-10,0.038226115
30,0,0,-10,0.027806032
45,0,0,-10,0.031427566
-4,0,0,-20,0.095394775
0,0,0,-20,0.097904166
4,0,0,-20,0.099102393
8,0,0,-20,0.092296335
12,0,0,-20,0.078670741
16,0,0,-20,0.07009058
20,0,0,-20,0.065902421
30,0,0,-20,0.053992562
45,0,0,-20,0.056998195
-4,0,10,0,-0.000128746
0,0,10,0,-6.31E-05
4,0,10,0,-0.000148207
8,0,10,0,6.49E-05
12,0,10,0,0.000118556
16,0,10,0,-0.000472961
20,0,10,0,-0.000240159
30,0,10,0,0.00054545
45,0,10,0,-0.0009461
-4,0,10,10,-0.041272143
0,0,10,10,-0.039806136
4,0,10,10,-0.0393753
8,0,10,10,-0.038199772
12,0,10,10,-0.037166612
16,0,10,10,-0.036768689
20,0,10,10,-0.036108233
30,0,10,10,-0.015091354
45,0,10,10,-0.026334935
-4,0,10,20,-0.096419211
0,0,10,20,-0.098119026
4,0,10,20,-0.100016086
8,0,10,20,-0.093799993
12,0,10,20,-0.080404278
16,0,10,20,-0.066420447
20,0,10,20,-0.046563396
30,0,10,20,-0.04818436
45,0,10,20,-0.053670237
-4,0,10,-10,0.040597654
0,0,10,-10,0.039598674
4,0,10,-10,0.040419808
8,0,10,-10,0.039216416
12,0,10,-10,0.037716092
16,0,10,-10,0.035540636
20,0,10,-10,0.032428818
30,0,10,-10,0.025461803
45,0,10,-10,0.027358964
-4,0,10,-20,0.093030456
0,0,10,-20,0.094223682
4,0,10,-20,0.095572194
8,0,10,-20,0.089713934
12,0,10,-20,0.076985194
16,0,10,-20,0.065167206
20,0,10,-20,0.045377345
30,0,10,-20,0.045497801
45,0,10,-20,0.054773418
-4,0,20,0,-0.000392113
0,0,20,0,-0.000316244
4,0,20,0,-0.000303087
8,0,20,0,-4.79E-05
12,0,20,0,-0.000151659
16,0,20,0,-0.000448449
20,0,20,0,-0.000378928
30,0,20,0,0.000913552
45,0,20,0,-0.001795332
-4,0,20,10,-0.040465779
0,0,20,10,-0.039206927
4,0,20,10,-0.039761654
8,0,20,10,-0.0388681
12,0,20,10,-0.038329779
16,0,20,10,-0.03338789
20,0,20,10,-0.035033439
30,0,20,10,-0.022702777
45,0,20,10,-0.026938174
-4,0,20,20,-0.094751199
0,0,20,20,-0.096049676
4,0,20,20,-0.098527028
8,0,20,20,-0.09150081
12,0,20,20,-0.078810449
16,0,20,20,-0.058643757
20,0,20,20,-0.042470594
30,0,20,20,-0.035304244
45,0,20,20,-0.055871796
-4,0,20,-10,0.04024216
0,0,20,-10,0.039121508
4,0,20,-10,0.039542872
8,0,20,-10,0.038799814
12,0,20,-10,0.037393248
16,0,20,-10,0.03154124
20,0,20,-10,0.034350996
30,0,20,-10,0.026838133
45,0,20,-10,0.026838683
-4,0,20,-20,0.094103304
0,0,20,-20,0.096091758
4,0,20,-20,0.098389644
8,0,20,-20,0.091249749
12,0,20,-20,0.078861263
16,0,20,-20,0.05964283
20,0,20,-20,0.043004441
30,0,20,-20,0.037905861
45,0,20,-20,0.055099998
-4,0,-10,0,0.000422732
0,0,-10,0,0.00030419
4,0,-10,0,0.000351405
8,0,-10,0,0.000249719
12,0,-10,0,0.00028574
16,0,-10,0,0.000326866
20,0,-10,0,0.000357214
30,0,-10,0,0.004645446
45,0,-10,0,-0.001727584
-4,0,-10,10,-0.039473551
0,0,-10,10,-0.039616105
4,0,-10,10,-0.041581616
8,0,-10,10,-0.040591501
12,0,-10,10,-0.031751798
16,0,-10,10,-0.034626937
20,0,-10,10,-0.042784991
30,0,-10,10,-0.037283231
45,0,-10,10,-0.049011732
-4,0,-10,20,-0.097543965
0,0,-10,20,-0.098976269
4,0,-10,20,-0.099432283
8,0,-10,20,-0.094082917
12,0,-10,20,-0.07814943
16,0,-10,20,-0.075135131
20,0,-10,20,-0.079678731
30,0,-10,20,-0.054961603
45,0,-10,20,-0.069346174
-4,0,-10,-10,0.039582466
0,0,-10,-10,0.039618952
4,0,-10,-10,0.041657226
8,0,-10,-10,0.040745075
12,0,-10,-10,0.032372055
16,0,-10,-10,0.035270414
20,0,-10,-10,0.042302095
30,0,-10,-10,0.046772543
45,0,-10,-10,0.050278275
-4,0,-10,-20,0.095888608
0,0,-10,-20,0.097742697
4,0,-10,-20,0.09883022
8,0,-10,-20,0.093530441
12,0,-10,-20,0.079198942
16,0,-10,-20,0.075666246
20,0,-10,-20,0.078744038
30,0,-10,-20,0.07103316
45,0,-10,-20,0.069745025
-4,0,-20,0,-0.0008503
0,0,-20,0,-0.000218789
4,0,-20,0,-0.000271389
8,0,-20,0,-1.34E-05
12,0,-20,0,-0.000306017
16,0,-20,0,-0.00047924
20,0,-20,0,-0.000445249
30,0,-20,0,0.001408487
45,0,-20,0,0.00025428
-4,0,-20,10,-0.036823209
0,0,-20,10,-0.037432864
4,0,-20,10,-0.038772073
8,0,-20,10,-0.038384164
12,0,-20,10,-0.030642418
16,0,-20,10,-0.031974987
20,0,-20,10,-0.04247118
30,0,-20,10,-0.024521053
45,0,-20,10,-0.051821945
-4,0,-20,20,-0.091759715
0,0,-20,20,-0.093765199
4,0,-20,20,-0.09423545
8,0,-20,20,-0.088702185
12,0,-20,20,-0.073670167
16,0,-20,20,-0.072480764
20,0,-20,20,-0.082957951
30,0,-20,20,-0.024252665
45,0,-20,20,-0.076546302
-4,0,-20,-10,0.03700054
0,0,-20,-10,0.036773367
4,0,-20,-10,0.03894361
8,0,-20,-10,0.038280475
12,0,-20,-10,0.029208027
16,0,-20,-10,0.03028518
20,0,-20,-10,0.0413818
30,0,-20,-10,0.031451196
45,0,-20,-10,0.054190015
-4,0,-20,-20,0.091538286
0,0,-20,-20,0.091868729
4,0,-20,-20,0.093752463
8,0,-20,-20,0.088823841
12,0,-20,-20,0.072789556
16,0,-20,-20,0.071475942
20,0,-20,-20,0.082928363
30,0,-20,-20,0.025053256
45,0,-20,-20,0.075877634
-4,-10,0,0,0.001833217
