AoA_deg_Used,AoS_deg,delta_El_L,delta_Rud_R,CY_body
-4,0,0,0,1.22E-05
0,0,0,0,-2.58E-05
4,0,0,0,-2.86E-05
8,0,0,0,0.00015525
12,0,0,0,0.000157378
16,0,0,0,2.99E-05
20,0,0,0,0.00018271
30,0,0,0,-0.001215433
45,0,0,0,-0.004716776
-4,0,0,10,0.032348114
0,0,0,10,0.031727878
4,0,0,10,0.032739494
8,0,0,10,0.031783889
12,0,0,10,0.027359572
16,0,0,10,0.023420629
20,0,0,10,0.025956433
30,0,0,10,0.019691003
45,0,0,10,-0.009598891
-4,0,0,20,0.074624444
0,0,0,20,0.076027511
4,0,0,20,0.076567547
8,0,0,20,0.07171509
12,0,0,20,0.060704697
16,0,0,20,0.053040269
20,0,0,20,0.049631903
30,0,0,20,0.03857656
45,0,0,20,-0.022265251
-4,0,0,-10,-0.032845908
0,0,0,-10,-0.031839127
4,0,0,-10,-0.032002354
8,0,0,-10,-0.031216508
12,0,0,-10,-0.027144268
16,0,0,-10,-0.02291242
20,0,0,-10,-0.027665794
30,0,0,-10,-0.020361391
45,0,0,-10,0.012983659
-4,0,0,-20,-0.074912722
0,0,0,-20,-0.076275071
4,0,0,-20,-0.076731095
8,0,0,-20,-0.071753707
12,0,0,-20,-0.060571531
16,0,0,-20,-0.053170007
20,0,0,-20,-0.049244256
30,0,0,-20,-0.033988644
45,0,0,-20,0.022358892
-4,0,10,0,0.000146055
0,0,10,0,7.42E-05
4,0,10,0,0.000139234
8,0,10,0,2.12E-05
12,0,10,0,-2.65E-05
16,0,10,0,0.000210625
20,0,10,0,-0.000102622
30,0,10,0,-0.001509245
45,0,10,0,-0.000434201
-4,0,10,10,0.034056002
0,0,10,10,0.032570601
4,0,10,10,0.032080555
8,0,10,10,0.031355821
12,0,10,10,0.028464758
16,0,10,10,0.026394862
20,0,10,10,0.025991141
30,0,10,10,0.010082939
45,0,10,10,-0.02138318
-4,0,10,20,0.077624902
0,0,10,20,0.078256138
4,0,10,20,0.07922455
8,0,10,20,0.074085823
12,0,10,20,0.061785947
16,0,10,20,0.04960517
20,0,10,20,0.032483547
30,0,10,20,0.028957609
45,0,10,20,-0.03131775
-4,0,10,-10,-0.033324021
0,0,10,-10,-0.032294606
4,0,10,-10,-0.032740612
8,0,10,-10,-0.031991176
12,0,10,-10,-0.029050735
16,0,10,-10,-0.025876343
20,0,10,-10,-0.023685238
30,0,10,-10,-0.016190683
45,0,10,-10,0.011864337
-4,0,10,-20,-0.075431872
0,0,10,-20,-0.075822752
4,0,10,-20,-0.076464253
8,0,10,-20,-0.071648234
12,0,10,-20,-0.059722575
16,0,10,-20,-0.049137413
20,0,10,-20,-0.032085678
30,0,10,-20,-0.026481891
45,0,10,-20,0.027494625
-4,0,20,0,0.000340451
0,0,20,0,0.00018551
4,0,20,0,0.000233922
8,0,20,0,9.54E-06
12,0,20,0,0.000261524
16,0,20,0,9.66E-05
20,0,20,0,-3.25E-05
30,0,20,0,-0.001643902
45,0,20,0,0.003701235
-4,0,20,10,0.033509374
0,0,20,10,0.032273766
4,0,20,10,0.032503007
8,0,20,10,0.031715264
12,0,20,10,0.028881018
16,0,20,10,0.023109689
20,0,20,10,0.025111402
30,0,20,10,0.016308086
45,0,20,10,-0.003972644
-4,0,20,20,0.077325458
0,0,20,20,0.077617756
4,0,20,20,0.079019995
8,0,20,20,0.07315049
12,0,20,20,0.061052032
16,0,20,20,0.043039709
20,0,20,20,0.029003623
30,0,20,20,0.021922586
45,0,20,20,-0.019571644
-4,0,20,-10,-0.033369115
0,0,20,-10,-0.032312089
4,0,20,-10,-0.032357259
8,0,20,-10,-0.032092628
12,0,20,-10,-0.02906669
16,0,20,-10,-0.022843009
20,0,20,-10,-0.025370907
30,0,20,-10,-0.018702739
45,0,20,-10,0.002999448
-4,0,20,-20,-0.076832502
0,0,20,-20,-0.077695298
4,0,20,-20,-0.079012065
8,0,20,-20,-0.072874572
12,0,20,-20,-0.06050051
16,0,20,-20,-0.044315392
20,0,20,-20,-0.029580929
30,0,20,-20,-0.023867443
45,0,20,-20,0.0217736
-4,0,-10,0,-0.000186793
0,0,-10,0,-9.94E-05
4,0,-10,0,-0.000136617
8,0,-10,0,-9.71E-05
12,0,-10,0,-9.57E-05
16,0,-10,0,-0.000170994
20,0,-10,0,-0.000372988
30,0,-10,0,-0.00430711
45,0,-10,0,0.008820203
-4,0,-10,10,0.031878204
0,0,-10,10,0.031863029
4,0,-10,10,0.03312418
8,0,-10,10,0.032487328
12,0,-10,10,0.025091603
16,0,-10,10,0.026074104
20,0,-10,10,0.03152827
30,0,-10,10,0.022212689
45,0,-10,10,-0.002122846
-4,0,-10,20,0.076945229
0,0,-10,20,0.077290388
4,0,-10,20,0.077377287
8,0,-10,20,0.073569019
12,0,-10,20,0.060566141
16,0,-10,20,0.057664755
20,0,-10,20,0.060775072
30,0,-10,20,0.029819327
45,0,-10,20,-0.02298542
-4,0,-10,-10,-0.031909852
0,0,-10,-10,-0.031841626
4,0,-10,-10,-0.03315861
8,0,-10,-10,-0.032589501
12,0,-10,-10,-0.025684399
16,0,-10,-10,-0.026781081
20,0,-10,-10,-0.031672495
30,0,-10,-10,-0.029357785
45,0,-10,-10,0.004017579
-4,0,-10,-20,-0.074792361
0,0,-10,-20,-0.075796949
4,0,-10,-20,-0.07620456
8,0,-10,-20,-0.072375257
12,0,-10,-20,-0.061770176
16,0,-10,-20,-0.057944678
20,0,-10,-20,-0.060002072
30,0,-10,-20,-0.043304505
45,0,-10,-20,0.014875379
-4,0,-20,0,0.000557464
0,0,-20,0,0.000186035
4,0,-20,0,0.00018017
8,0,-20,0,5.50E-05
12,0,-20,0,0.000228545
16,0,-20,0,0.000270335
20,0,-20,0,-8.50E-06
30,0,-20,0,-0.001656969
45,0,-20,0,-5.72E-05
-4,0,-20,10,0.030512805
0,0,-20,10,0.03094799
4,0,-20,10,0.031951145
