AoA_deg_Used,AoS_deg,delta_El_L,delta_Rud_R,CZ_body
-4,0,0,0,0.190423725
0,0,0,0,0.012296666
4,0,0,0,-0.163498866
8,0,0,0,-0.343517912
12,0,0,0,-0.516408875
16,0,0,0,-0.697813713
20,0,0,0,-0.932902706
30,0,0,0,-1.569392021
45,0,0,0,-2.185546971
-4,0,0,10,0.192452827
0,0,0,10,0.011342706
4,0,0,10,-0.165250938
8,0,0,10,-0.339706455
12,0,0,10,-0.507992712
16,0,0,10,-0.707583197
20,0,0,10,-0.953202034
30,0,0,10,-1.59315121
45,0,0,10,-2.20229812
-4,0,0,20,0.1892049
0,0,0,20,0.007001118
4,0,0,20,-0.169767111
8,0,0,20,-0.344170544
12,0,0,20,-0.506264027
16,0,0,20,-0.70937257
20,0,0,20,-0.954320473
30,0,0,20,-1.589684899
45,0,0,20,-2.212265328
-4,0,0,-10,0.19741395
0,0,0,-10,0.014019221
4,0,0,-10,-0.164217651
8,0,0,-10,-0.341493287
12,0,0,-10,-0.510138893
16,0,0,-10,-0.715365397
20,0,0,-10,-0.965978143
30,0,0,-10,-1.604929974
45,0,0,-10,-2.219282673
-4,0,0,-20,0.189702417
0,0,0,-20,0.00768001
4,0,0,-20,-0.169038076
8,0,0,-20,-0.34417197
12,0,0,-20,-0.506921083
16,0,0,-20,-0.710381247
20,0,0,-20,-0.955195098
30,0,0,-20,-1.590653852
45,0,0,-20,-2.214842204
-4,0,10,0,0.116887254
0,0,10,0,-0.072491124
4,0,10,0,-0.256106738
8,0,10,0,-0.44672316
12,0,10,0,-0.627815795
16,0,10,0,-0.805943359
20,0,10,0,-1.049577695
30,0,10,0,-1.649411504
45,0,10,0,-2.235810282
-4,0,10,10,0.121533988
0,0,10,10,-0.071799582
4,0,10,10,-0.25541938
8,0,10,10,-0.442461545
12,0,10,10,-0.617065938
16,0,10,10,-0.815896054
20,0,10,10,-1.058435182
30,0,10,10,-1.667850998
45,0,10,10,-2.252182905
-4,0,10,20,0.122523438
0,0,10,20,-0.068429574
4,0,10,20,-0.250496919
8,0,10,20,-0.426872214
12,0,10,20,-0.613323846
16,0,10,20,-0.804053727
20,0,10,20,-1.029333475
30,0,10,20,-1.642027155
45,0,10,20,-2.226811614
-4,0,10,-10,0.117728206
0,0,10,-10,-0.073192387
4,0,10,-10,-0.256193534
8,0,10,-10,-0.439457995
12,0,10,-10,-0.615089494
16,0,10,-10,-0.809452644
20,0,10,-10,-1.04585989
30,0,10,-10,-1.659640304
45,0,10,-10,-2.227226137
-4,0,10,-20,0.122469937
0,0,10,-20,-0.068721541
4,0,10,-20,-0.250154094
8,0,10,-20,-0.426577663
12,0,10,-20,-0.612779702
16,0,10,-20,-0.80375952
20,0,10,-20,-1.03230824
30,0,10,-20,-1.646230626
45,0,10,-20,-2.230365357
-4,0,20,0,0.041769411
0,0,20,0,-0.138994237
4,0,20,0,-0.323490083
8,0,20,0,-0.520338284
12,0,20,0,-0.700807853
16,0,20,0,-0.891008351
20,0,20,0,-1.127631832
30,0,20,0,-1.702908154
45,0,20,0,-2.25835847
-4,0,20,10,0.045015183
